place_id,name,address,lat,lng,type
ChIJnVqvkOgodTERdugOFKP7ITI,Gà Nướng Anh Tư,"449 Lê Quang Định, Phường 5, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8153129,106.6889017,quán ăn
ChIJafGD_1wpdTERrHsV45HbVxg,Cơm Tấm Ngon Bà Hai,"98 Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8292913,106.632516,quán ăn
ChIJcTVUYEQpdTERW1ACA6eCaUo,Ẩm Thực Song Phụng 2 I Quán Ăn Sân Vườn Quận 12 I Quán Ăn View Đẹp Quận 12,"637/10/49 Tổ 30, Khu Phố 2, Quận 12, Thành phố Hồ Chí Minh 71514, Vietnam",10.8887265,106.6758285,quán ăn
ChIJZ7bV17IrdTER7Uy0JWbYvW8,Nhà hàng Nướng ÔRI BBQ,"23/40 Nguyễn Hữu Tiến, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam",10.8086174,106.6237846,quán ăn
ChIJ8TP_5DovdTERreag_Y2jxCI,Món Ăn Ngon,"72 Võ Văn Tần, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",10.7766189,106.6900775,quán ăn
ChIJFS_tW00rdTERgPYFRhnWyZ4,Pi Cha - Quán ăn Thái,"Đ. Nguyễn Ảnh Thủ/43/2 Hậu Lân 1, ấp Hậu Lân, Hóc Môn, Thành phố Hồ Chí Minh 71714, Vietnam",10.8492191,106.6030527,quán ăn
ChIJradg09kodTER7pl-g0HCUjA,Quán Ăn Dìn Chón Mì Gia,"447 Nguyễn Kiệm, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh, Vietnam",10.801478,106.6792851,quán ăn
ChIJAxoutTYpdTEReqkzPP-cOjA,Hội An Quán,"308/26 Hoàng Văn Thụ, 1/5 Đ. Út Tịch, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.7992217,106.6582218,quán ăn
ChIJbUgkBG4vdTERLZNPrSoUpyQ,Quán Phá Lấu Bò Cô Thảo,"243/29G Đ. Tôn Đản, Phường 15, Quận 4, Thành phố Hồ Chí Minh, Vietnam",10.756633,106.7072959,quán ăn
ChIJ05H9JEQvdTER22ECOO9ROuw,Kabin - Cantonese Restaurant,"15 Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7743695,106.7062585,quán ăn
ChIJQ0FZ3BgvdTERu77HDzkrOjs,Din Ky Cu Lao Xanh,"9a Đ. Trần Văn Trà, Tân Phú, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam",10.7202067,106.7162877,quán ăn
ChIJrZTSalArdTERUDTDhO0oZ-c,Ẩm Thực Bờ Hồ,"1006 Đ. Trường Chinh, Phường 15, Tân Bình, Thành phố Hồ Chí Minh 00700, Vietnam",10.8244133,106.6289015,quán ăn
ChIJ2eSxOIQvdTERaL5Ume1Fz1w,Cơm Tấm Sà Bì Chưởng - Trần Bình Trọng,"179 Đường Trần Bình Trọng, Phường 2, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam",10.758552,106.6804491,quán ăn
ChIJ07rYYawvdTERk7Sfgz3kU6o,Bún riêu Gánh,"163 Lê Thánh Tôn, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.773939,106.6989509,quán ăn
ChIJEVER-TgvdTERyBiwL1f0ORQ,Sài Gòn Xưa và Nay,"37 Nguyễn Trung Trực, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7753528,106.6973807,quán ăn
ChIJ3QPLdwAsdTERrUdc2n-EJFs,Quán Ăn Lượm Lúa,"239 Đ. Độc Lập, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7931292,106.6270587,quán ăn
ChIJQzMpeYMpdTER5fpeQSsTGz0,Trà Sữa & Ăn Vặt Mang Đi - 100t,"40/40 Hoàng Bật Đạt, p, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8246778,106.6351318,quán ăn
ChIJC7H2nuEpdTER0JOOLpESP6w,Cháo Trắng Hàng Xanh,"Hẻm 283 Xô Viết Nghệ Tĩnh, Phường 2, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8023968,106.7111379,quán ăn
ChIJqSUY9d8udTER3gWPfy0eMms,Quán Ốc Như,"650/4/29D Điện Biên Phủ, Phường 10, Quận 10, Thành phố Hồ Chí Minh, Vietnam",10.7709184,106.6764854,quán ăn
ChIJj6ISX-4rdTERurzBrXAaPgY,Vịt Cỏ Mạnh Khoát,"123 Đ. Kênh 19/5, Sơn Kỳ, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8076774,106.6134193,quán ăn
ChIJQw2qDBcrdTERlYBAStCFg7I,Yaki Yaki Yo - Buffet băng chuyền Nướng,"165 Đường Tây Thạnh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam",10.814335,106.623954,quán ăn
ChIJtbDtRBEvdTEReHnFwJHi3MU,Cháo Lòng Bà Út,"193 Cô Giang, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7614246,106.6931049,quán ăn
ChIJ1czeSRYpdTERL7xVDc-ynzU,Dai Phu Restaurant,"Đ. Nguyễn Văn Quá/56c Tổ 3 - KP2, KP4, Quận 12, Thành phố Hồ Chí Minh, Vietnam",10.8289122,106.6270301,quán ăn
ChIJeY4TdNQrdTERR3OkkWOGSGk,Quán Ăn Nhật Phương Trang,"200, Đ. Song Hành/12 QL22, Quận 12, Thành phố Hồ Chí Minh, Vietnam",10.8328807,106.6237849,quán ăn
ChIJzUH6Ap4vdTERWm7yqKFjvrE,Viet Kitchen - International Vietnamese Restaurant,"8 15 Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.774588,106.7062853,quán ăn
ChIJ-6RsWN8rdTERZ0DFwCRNod0,Quê Ta,"RJ9H+RJ7, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8195606,106.6290336,quán ăn
ChIJwSV2FxgpdTER77c8n-d267I,Lẩu Nướng Ngõ Chìll,"66/1 Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8269652,106.6318215,quán ăn
ChIJ6aNoJgAvdTERaCx1nlbCbJg,ST25 by KOTO,"17 Le Duan, Ben Nghe Ward, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",10.7837441,106.7022116,quán ăn
ChIJ66-d5TYvdTER2zGgvZzxvI0,Matsuri Japanese Restaurant - Nguyễn Huệ,"3 Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.771649,106.7058812,quán ăn
ChIJHSDjGTgpdTEREaAg1WEaYd4,Bột Chiên Long Phụng,"19/15 Đ. Trường Chinh, Phường 15, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8213587,106.6308573,quán ăn
ChIJsfmXd_sudTERyzZgFp8YQ_U,Quán Ăn Ngon,"149 Nguyễn Tri Phương, Phường 7, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam",10.7554183,106.6691186,quán ăn
ChIJDUV_9Aw1CzERYI-SLVVsFeY,Quán Ăn Gia Đình Cây Điệp,"ấp Xóm Lẩm, Thanh Tuyền, Dầu Tiếng, Bình Dương, Vietnam",11.1540358,106.450811,quán ăn
ChIJRRVGD-E1CzERxhKxStocolM,Quán ăn Thanh Thúy,"Cầu Bến Súc, Thanh Tuyền, Củ Chi, Thành phố Hồ Chí Minh, Vietnam",11.1557597,106.4507993,quán ăn
ChIJybj9q2IpdTERmssqpNcuK0c,Bữa ăn Ngon và Lành,"9 Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8253772,106.6294677,quán ăn
ChIJjRr4-s1JCzER3KUtxdQSm5E,Quán ăn gia đình 168,"10 Văn Công Khai, Dầu Tiếng, Bình Dương, Vietnam",11.2839857,106.3865468,quán ăn
ChIJc9ihWqIpdTER38LrbmNUy_c,Phở Bắc,"82 Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8278976,106.6319406,quán ăn
ChIJ_6TOQwApdTERSCJuEE1vU2o,Phở Thìn Hà Nội - Chi nhánh TP Hồ Chí Minh,"Đường 18E/10 Cộng Hòa, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 00700, Vietnam",10.804986,106.6546333,quán ăn
ChIJxS9sY0gpdTER95OgJxwILCI,Gia Dinh Ngon Restaurant,"234 Cộng Hòa, Phường 12, Tân Bình, Thành phố Hồ Chí Minh 72111, Vietnam",10.8019967,106.6500415,quán ăn
ChIJo6Dn2q8rdTER-MIRAjvxSSY,Ốc Ngon Quận 12,"QL 22/82 Đ. Song Hành, Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh 700000, Vietnam",10.8282774,106.6257468,quán ăn
ChIJvUEY-bbWdDEREXJ7AacuOFo,Quán Ăn Bờ SôngTưDần,"XJ5X+FV2, Bình Mỹ, Củ Chi, Thành phố Hồ Chí Minh, Vietnam",10.9585962,106.6496377,quán ăn
ChIJH2I3G7MpdTERuMfyuSCINBQ,Phố Nướng,"107 Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8016546,106.633774,quán ăn
ChIJTZjAsdQudTERDDnCUCkDLfg,Canh Bún Mẹ Tôi,"115/62 Đ. Lê Văn Sỹ, Phường 13, Phú Nhuận, Thành phố Hồ Chí Minh, Vietnam",10.7902712,106.6712877,quán ăn
ChIJkz01ne0rdTERIWfMGQT9lD0,nhà hàng quán nướng Yaki,"60 CN1, Sơn Kỳ, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam",10.8057595,106.6085982,quán ăn
ChIJI0Fw2-ApdTERjkB8Nt-3PIo,Ẩm thực 72-Phan Huy Ích,"164 Phan Huy Ích, Phường 12, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam",10.8331971,106.6344513,quán ăn
